1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,1340,1341,1342,9,9,9,9,9,9,9,9,1340,1341,1342,9,9,9,9,9,1395,
1395,9,9,9,9,1348,1349,1350,9,9,9,9,9,9,9,9,1348,1349,1350,9,9,9,9,9,1395,
1395,9,9,9,9,1356,1357,1358,9,9,9,9,9,9,9,9,1356,1357,1358,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,1340,1341,1342,9,9,9,9,1340,1341,1342,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,1348,1349,1350,9,9,9,9,1348,1349,1350,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,1356,1357,1358,9,9,9,9,1356,1357,1358,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,1340,1341,1342,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,1348,1349,1350,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,1356,1357,1358,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,1340,1341,1342,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,1348,1349,1350,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,9,9,9,9,9,9,9,1356,1357,1358,9,9,9,9,9,9,9,9,9,9,9,9,9,1395,
1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395
